Particpant,Session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,Imagine Onset,64.193,74.209,83.225,93.241,169.436,179.952,188.968,198.484,270.678,280.694,290.21,300.226,371.421,379.937,389.453,399.969,471.664,481.663,490.679,501.195,572.423,581.939,590.455,599.471,674.666,684.682,693.198,702.714,776.458,785.474,795.49,804.506,882.217,892.733,902.749,911.265,985.477,995.992,1005.508,1016.024
,,2,Imagine Rating Onset,70.193,80.209,89.225,99.241,175.435,185.951,194.967,204.483,276.678,286.694,296.21,306.226,377.421,385.937,395.453,405.969,477.663,487.663,496.679,507.195,578.423,587.939,596.455,605.471,680.665,690.681,699.197,708.713,782.458,791.474,801.49,810.506,888.217,898.733,908.749,917.265,991.476,1001.992,1011.508,1022.024
,,3,Overall Rating Response,71.465,81.196,90.312,99.79,176.476,186.856,196.377,205.654,277.918,287.864,297.109,307.772,379.13,387.253,396.217,407.221,480.536,488.489,498.375,507.913,580.269,589.178,597.594,607.796,682.116,691.417,700.128,709.802,784.423,792.264,802.515,811.936,889.177,900.379,909.73,918.564,992.617,1003.657,1012.273,1023.118
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,01,1,Image Onset,4.035,12.551,22.05,32.549,105.244,115.26,124.276,134.792,209.487,219.019,227.535,236.568,311.763,321.778,330.295,339.81,412.022,421.055,431.087,440.12,512.315,522.831,532.846,541.379,610.591,621.107,630.639,641.172,711.867,721.883,730.899,740.931,814.126,824.642,833.658,843.174,920.368,930.401,939.934,949.95
,,2,Pleasant Onset,10.034,18.55,28.05,38.549,111.244,121.26,130.276,140.792,215.486,225.019,233.535,242.568,317.762,327.778,336.294,345.81,418.021,427.054,437.087,446.119,518.314,528.83,538.846,547.379,616.59,627.106,636.639,647.172,717.866,727.882,736.898,746.931,820.126,830.642,839.658,849.174,926.368,936.401,945.933,955.949
,,3,Overall Pleasant Response,11.817,21.708,31.141,39.414,112.772,122.394,131.069,141.738,216.677,225.808,234.459,243.385,319.299,329.38,337.266,347.029,419.403,427.949,438.109,446.942,519.096,530.613,539.84,548.146,618.159,627.959,637.366,648.171,719.148,729.129,737.719,747.878,821.767,831.935,841.055,850.574,927.301,937.319,947.088,956.752
,,1,Number Onset,42.082,48.098,54.115,59.131,145.325,151.341,155.857,160.873,248.1,254.117,259.633,264.649,349.343,353.859,359.376,365.892,449.653,455.169,460.185,465.201,551.412,555.928,560.944,565.461,650.705,655.721,661.237,666.253,751.464,755.98,760.497,767.013,854.706,860.223,866.239,872.755,959.982,966.498,972.015,978.531
,,2,Even/Odd Onset,44.082,50.098,56.114,61.131,147.324,153.341,157.857,162.873,250.1,256.117,261.633,266.649,351.343,355.859,361.376,367.892,451.652,457.169,462.185,467.201,553.412,557.928,562.944,567.461,652.704,657.721,663.237,668.253,753.464,757.98,762.496,769.013,856.706,862.223,868.239,874.755,961.982,968.498,974.014,980.531
,,3,Overall Odd/Even Response,45.122,50.984,57.136,61.522,148.268,154.56,158.883,163.751,250.963,257.158,263.584,267.152,352.235,356.455,362.108,368.562,452.387,457.919,463.147,467.914,554.011,559.059,563.519,568.606,653.308,658.519,664.127,669.736,754.327,758.736,762.997,769.845,857.726,863.356,868.816,875.338,962.932,970.083,974.397,981.119
,,1,Imagine Onset,65.164,75.18,84.196,94.212,169.406,179.922,188.938,198.454,272.182,282.198,291.714,301.73,372.425,380.941,390.457,400.973,472.234,482.25,491.266,501.782,570.994,580.51,589.026,598.042,674.786,684.802,693.318,702.834,775.046,784.062,794.078,803.094,880.788,891.304,901.32,909.836,985.564,996.08,1005.595,1016.111
,,2,Imagine Rating Onset,71.163,81.179,90.195,100.211,175.406,185.922,194.938,204.454,278.182,288.198,297.714,307.729,378.424,386.94,396.456,406.972,478.234,488.25,497.266,507.782,576.993,586.509,595.025,604.041,680.786,690.802,699.318,708.834,781.045,790.061,800.077,809.093,886.787,897.303,907.319,915.835,991.563,1002.079,1011.595,1022.111
,,3,Overall Rating Response,72.234,82.206,91.297,101.201,176.711,186.851,196.147,205.46,279.239,289.626,298.928,308.712,379.561,388.021,397.629,408.199,479.472,489.2,498.13,508.618,578.62,587.586,596.394,604.808,682.511,691.695,700.409,709.704,781.971,791.299,800.816,810.179,887.652,898.211,908.267,916.964,992.427,1003.281,1012.544,1023.085
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,02,1,Image Onset,4.024,12.54,22.056,32.572,106.767,116.783,125.799,136.315,212.009,221.525,230.041,239.057,313.252,323.268,331.784,341.3,413.495,422.511,432.527,441.543,515.737,526.253,536.269,544.785,616.48,626.996,636.512,647.028,718.722,728.738,737.754,747.77,821.465,831.981,840.997,850.513,924.707,934.723,944.239,954.255
,,2,Pleasant Onset,10.024,18.54,28.056,38.572,112.766,122.782,131.798,142.314,218.009,227.525,236.041,245.057,319.251,329.267,337.783,347.299,419.494,428.51,438.526,447.542,521.737,532.253,542.269,550.785,622.479,632.995,642.511,653.027,724.722,734.738,743.754,753.77,827.465,837.98,846.996,856.512,930.707,940.723,950.239,960.255
